2017-03-22 11:20:49,795 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 11:24:28,637 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @6131148ms
2017-03-22 11:24:29,149 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-03-22 11:24:29,256 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1215982b{/help,null,AVAILABLE}
2017-03-22 11:24:29,461 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@73446d66{HTTP/1.1}{127.0.0.1:53233}
2017-03-22 11:24:29,461 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @6131973ms
2017-03-22 11:45:22,454 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:45:22,497 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 11:45:22,498 [Worker-63] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:45:22,510 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 11:45:32,956 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:45:32,962 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 11:45:32,963 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:45:32,973 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 11:47:45,397 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:47:45,405 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 11:47:45,407 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:47:45,415 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 11:47:58,122 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:47:58,130 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 11:47:58,131 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:47:58,137 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 11:48:36,793 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:48:36,800 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 11:48:36,801 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:48:36,806 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 11:56:19,583 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:56:19,595 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 11:56:19,596 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:56:19,606 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 11:56:32,180 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:56:32,187 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 11:56:32,188 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 11:56:32,195 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 12:01:59,574 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 12:01:59,624 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 12:01:59,627 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 12:01:59,635 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 12:07:03,711 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@73446d66{HTTP/1.1}{127.0.0.1:0}
2017-03-22 12:07:03,922 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1215982b{/help,null,UNAVAILABLE}
2017-03-22 13:51:26,400 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @705201ms
2017-03-22 13:51:28,133 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-03-22 13:51:28,236 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@6327cab0{/help,null,AVAILABLE}
2017-03-22 13:51:28,320 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@7d546f2d{HTTP/1.1}{127.0.0.1:55184}
2017-03-22 13:51:28,320 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @707124ms
2017-03-22 13:58:43,716 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 13:58:43,768 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 13:58:43,771 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 13:58:43,779 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\THUCTAP\DEMO\DemoSpringMVC\SpingMVCHelloWord\src\test\resources
2017-03-22 13:59:18,176 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-22 13:59:18,239 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-22 13:59:18,240 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
